"";"Artikel";"name";"Bruttobetrag";"Nettobetrag";"Verkaufte.Stücke";"Gewicht.verkauft";"Durchschnittlicher.Preis";"Rabattierter.Betrag";"Durchschnittlicher.Rabatt";"Referenzbetrag";"Ref..";"Tot..Umsatz";"source";"year"
"70";"A10162";"Bienenstich";4,8;4,8;2;NA;2,4;0;0;4,8;100;0,048448145344436;"KW02.xlsx";2016
"71";"A10163";"Bürli";5,6;5,6;4;NA;1,4;0;0;5,6;100;0,0565228362351754;"KW02.xlsx";2016
"72";"A10200";"Birchermüesli Classic";12,8;12,8;4;NA;3,2;0;0;12,8;100;0,129195054251829;"KW02.xlsx";2016
"73";"A10201";"Birchermüesli Saisonal";4,9;4,9;1;NA;4,9;0;0;4,9;100;0,0494574817057785;"KW02.xlsx";2016
"74";"A10409";"Sandwich Appenzell";11,5;11,5;2;NA;5,75;0;0;11,5;100;0,116073681554378;"KW02.xlsx";2016
"75";"A10414";"Sandwich Ham & Cheese";16,5;16,5;3;NA;5,5;0;0;16,5;100;0,166540499621499;"KW02.xlsx";2016
"76";"A10415";"Sandwich Turkey";11;11;2;NA;5,5;0;0;11;100;0,111026999747666;"KW02.xlsx";2016
"77";"A10416";"Sandwich Ticinese";18;18;3;NA;6;0;0;18;100;0,181680545041635;"KW02.xlsx";2016
"78";"A10430";"Bagel Sandwich Fisherman's Catch";38,5;38,5;7;NA;5,5;0;0;38,5;100;0,388594499116831;"KW02.xlsx";2016
"79";"A10431";"Bagel Sandwich The French";5,5;5,5;1;NA;5,5;0;0;5,5;100;0,055513499873833;"KW02.xlsx";2016
"80";"A10432";"Bagel Sandwich Turkey Classic";11;11;2;NA;5,5;0;0;11;100;0,111026999747666;"KW02.xlsx";2016
"81";"A10433";"Bagel Sandwich Vegi Luxus";16,5;16,5;3;NA;5,5;0;0;16,5;100;0,166540499621499;"KW02.xlsx";2016
"82";"A10439";"FB Sandwich Surf'n Turf";11;11;2;NA;5,5;0;0;11;100;0,111026999747666;"KW02.xlsx";2016
"83";"A10450";"Sandwich Laugenkaiser";4;4;1;NA;4;0;0;4;100;0,0403734544536967;"KW02.xlsx";2016
"84";"A10451";"Sandwich Bauette";10;10;2;NA;5;0;0;10;100;0,100933636134242;"KW02.xlsx";2016
"85";"L19100";"Patisserie offen";1,8;1,8;1;NA;1,8;0;0;1,8;100;0,0181680545041635;"KW02.xlsx";2016
"86";"Total Gruppe";NA;9907,5;9907,5;1510;17,352;6,56;0;0;9907,5;NA;100;"KW02.xlsx";2016
"87";"A10000";"Küche";69,8;69,8;8;NA;8,73;0;0;69,8;100;0,846912651516071;"KW03.xlsx";2016
"88";"A10001";"Favorite";3230;3230;396;NA;8,16;0;0;3230;100;39,1909436160016;"KW03.xlsx";2016
"89";"A10002";"Green";1637;1637;207;NA;7,91;0;0;1637;100;19,8624070276763;"KW03.xlsx";2016
"90";"A100039";"Portion Pommes";11;11;2;NA;5,5;0;0;11;100;0,133467609837776;"KW03.xlsx";2016
"91";"A10005";"Menu Suppe";15;15;10;NA;1,5;0;0;15;100;0,182001286142422;"KW03.xlsx";2016
"92";"A10006";"Menu Salat";206;206;132;NA;1,56;0;0;206;100;2,49948432968926;"KW03.xlsx";2016
"93";"A10007";"Senf Mayo Ketschup";4,5;4,5;9;NA;0,5;0;0;4,5;100;0,0546003858427266;"KW03.xlsx";2016
"94";"A10011";"Kitchen 1";134;134;13;NA;10,31;0;0;134;100;1,62587815620564;"KW03.xlsx";2016
"95";"A10013";"Kitchen 3";420;420;35;NA;12;0;0;420;100;5,09603601198782;"KW03.xlsx";2016
"96";"A10014";"Kitchen 4";982;982;75;NA;13,09;0;0;982;100;11,9150175327906;"KW03.xlsx";2016
"97";"A10020";"Local 0";1036;1036;132;NA;7,85;0;0;1036;100;12,5702221629033;"KW03.xlsx";2016
"98";"A10040";"Garden";266;266;42;11,504;23,12;0;0;266;100;3,22748947425895;"KW03.xlsx";2016
"99";"A10061";"Frucht -.80";1,6;1,6;2;NA;0,8;0;0;1,6;100;0,0194134705218584;"KW03.xlsx";2016
