Artikel;article_description;Bruttobetrag;Nettobetrag;Verkaufte_Stücke;Gewicht_verkauft;Durchschnittlicher_Preis;umsatz_tot;origin;year;date;ort
A10101;Ragusa-Gipfel;7.2;7.2;3;NA;2.4;0.24;22.09.csv;2015;22.09.2015;grüental
A10108;Laugenbrezel mit Butter;2.2;2.2;1;NA;2.2;0.07;22.09.csv;2015;22.09.2015;grüental
A10110;Sonnenblumenbrötli;1.7;1.7;1;NA;1.7;0.06;22.09.csv;2015;22.09.2015;grüental
A10117;Nuss-Semmel;3.4;3.4;2;NA;1.7;0.11;22.09.csv;2015;22.09.2015;grüental
A10126;Apfel im Schlafrock;2.4;2.4;1;NA;2.4;0.08;22.09.csv;2015;22.09.2015;grüental
A10131;Vanille/Apfelstange;2.4;2.4;1;NA;2.4;0.08;22.09.csv;2015;22.09.2015;grüental
A10136;Muffin;5;5;2;NA;2.5;0.17;22.09.csv;2015;22.09.2015;grüental
A10144;Trockengebäck 100g verpackt;6.6;6.6;3;NA;2.2;0.22;22.09.csv;2015;22.09.2015;grüental
A10148;Fruchttörtli;2.4;2.4;1;NA;2.4;0.08;22.09.csv;2015;22.09.2015;grüental
A10200;Birchermüesli Classic;19.7;19.7;6;NA;3.28;0.66;22.09.csv;2015;22.09.2015;grüental
A10410;Sandwich Milano;12;12;3;NA;4;0.4;22.09.csv;2015;22.09.2015;grüental
A10413;Sandwich Start Your Day;4.5;4.5;1;NA;4.5;0.15;22.09.csv;2015;22.09.2015;grüental
A10415;Sandwich Turkey;16.5;16.5;3;NA;5.5;0.55;22.09.csv;2015;22.09.2015;grüental
L19200;Sandwich offen;5;5;1;NA;5;0.17;22.09.csv;2015;22.09.2015;grüental
A10000;Catering;4;4;2;NA;2;0.16;23.09.csv;2015;23.09.2015;grüental
A10001;Favorite;773;773;99;NA;7.81;31.8;23.09.csv;2015;23.09.2015;grüental
A10002;Green;653;653;87;NA;7.51;26.87;23.09.csv;2015;23.09.2015;grüental
A10006;Menu Salat;39;39;26;NA;1.5;1.6;23.09.csv;2015;23.09.2015;grüental
A10011;Kitchen 1;394;394;41;NA;9.61;16.21;23.09.csv;2015;23.09.2015;grüental
A10014;Kitchen 4;64;64;5;NA;12.8;2.63;23.09.csv;2015;23.09.2015;grüental
A10020;Local 0;362;362;48;NA;7.54;14.89;23.09.csv;2015;23.09.2015;grüental
A10030;Market;32.3;32.3;3;1.36;23.75;1.33;23.09.csv;2015;23.09.2015;grüental
A10040;Garden;24.5;24.5;4;1.068;22.94;1.01;23.09.csv;2015;23.09.2015;grüental
A10063;Frucht 1.00;2;2;2;NA;1;0.08;23.09.csv;2015;23.09.2015;grüental
A10070;Yogurt 150g;1.6;1.6;1;NA;1.6;0.07;23.09.csv;2015;23.09.2015;grüental
A10072;Schichtjoghurt;3;3;1;NA;3;0.12;23.09.csv;2015;23.09.2015;grüental
A10123;Russenzöpfli;2.4;2.4;1;NA;2.4;0.1;23.09.csv;2015;23.09.2015;grüental
A10130;Vanillekreuz;2.4;2.4;1;NA;2.4;0.1;23.09.csv;2015;23.09.2015;grüental
A10131;Vanille/Apfelstange;2.4;2.4;1;NA;2.4;0.1;23.09.csv;2015;23.09.2015;grüental
A10148;Fruchttörtli;9.6;9.6;4;NA;2.4;0.39;23.09.csv;2015;23.09.2015;grüental
A10200;Birchermüesli Classic;6.4;6.4;2;NA;3.2;0.26;23.09.csv;2015;23.09.2015;grüental
A10410;Sandwich Milano;17;17;4;NA;4.25;0.7;23.09.csv;2015;23.09.2015;grüental
A10413;Sandwich Start Your Day;4.5;4.5;1;NA;4.5;0.19;23.09.csv;2015;23.09.2015;grüental
A10414;Sandwich Ham & Cheese;5.5;5.5;1;NA;5.5;0.23;23.09.csv;2015;23.09.2015;grüental
A10416;Sandwich Ticinese;6;6;1;NA;6;0.25;23.09.csv;2015;23.09.2015;grüental
A10430;Bagel Sandwich Fisherman's Catch;11.5;11.5;2;NA;5.75;0.47;23.09.csv;2015;23.09.2015;grüental
A10451;Sandwich Bauette;10.5;10.5;2;NA;5.25;0.43;23.09.csv;2015;23.09.2015;grüental
A10000;Catering;20;20;3;NA;6.67;0.89;24.09.csv;2015;24.09.2015;grüental
A10001;Favorite;734;734;93;NA;7.89;32.7;24.09.csv;2015;24.09.2015;grüental
A10002;Green;551;551;70;NA;7.87;24.55;24.09.csv;2015;24.09.2015;grüental
A10006;Menu Salat;61.5;61.5;41;NA;1.5;2.74;24.09.csv;2015;24.09.2015;grüental
A10007;Senf Mayo Ketschup;0.5;0.5;1;NA;0.5;0.02;24.09.csv;2015;24.09.2015;grüental
A10011;Kitchen 1;269;269;27;NA;9.96;11.99;24.09.csv;2015;24.09.2015;grüental
A10020;Local 0;320;320;41;NA;7.8;14.26;24.09.csv;2015;24.09.2015;grüental
A10021;Local 1;11;11;1;NA;11;0.49;24.09.csv;2015;24.09.2015;grüental
A10030;Market;79.5;79.5;13;3.464;22.95;3.54;24.09.csv;2015;24.09.2015;grüental
A10040;Garden;33.7;33.7;5;1.448;23.27;1.5;24.09.csv;2015;24.09.2015;grüental
A10063;Frucht 1.00;11;11;11;NA;1;0.49;24.09.csv;2015;24.09.2015;grüental
A10073;Saisonfrüchte geschnitten;7;7;2;NA;3.5;0.31;24.09.csv;2015;24.09.2015;grüental
A10100;Gipfel;6.5;6.5;5;NA;1.3;0.29;24.09.csv;2015;24.09.2015;grüental
A10105;Schinkengipfel;2.5;2.5;1;NA;2.5;0.11;24.09.csv;2015;24.09.2015;grüental
A10108;Laugenbrezel mit Butter;2.4;2.4;1;NA;2.4;0.11;24.09.csv;2015;24.09.2015;grüental
A10113;Mandelbrötli;8.5;8.5;5;NA;1.7;0.38;24.09.csv;2015;24.09.2015;grüental
