Artikel;article_description;Bruttobetrag;Nettobetrag;Verkaufte_Stücke;Gewicht_verkauft;Durchschnittlicher_Preis;umsatz_tot;origin;year;date
A10413;Sandwich Start Your Day;13.5;13.5;3;NA;4.5;0.67;06.10.csv;2015;06.10.2015
A10415;Sandwich Turkey;5.5;5.5;1;NA;5.5;0.27;06.10.csv;2015;06.10.2015
A10425;Sandwich Italien;12;12;2;NA;6;0.6;06.10.csv;2015;06.10.2015
L19200;Sandwich offen;4.5;4.5;1;NA;4.5;0.22;06.10.csv;2015;06.10.2015
A10000;Catering;3;3;1;NA;3;0.12;07.10.csv;2015;07.10.2015
A10001;Favorite;646;646;84;NA;7.69;26.65;07.10.csv;2015;07.10.2015
A10002;Green;561;561;73;NA;7.68;23.15;07.10.csv;2015;07.10.2015
A10006;Menu Salat;87.5;87.5;57;NA;1.54;3.61;07.10.csv;2015;07.10.2015
A10012;Kitchen 2;161;161;15;NA;10.73;6.64;07.10.csv;2015;07.10.2015
A10014;Kitchen 4;610;610;47;NA;12.98;25.17;07.10.csv;2015;07.10.2015
A10020;Local 0;214;214;29;NA;7.38;8.83;07.10.csv;2015;07.10.2015
A10030;Market;39;39;5;1.698;22.97;1.61;07.10.csv;2015;07.10.2015
A10040;Garden;42.4;42.4;7;1.844;22.99;1.75;07.10.csv;2015;07.10.2015
A10060;Frucht -.70;0.7;0.7;1;NA;0.7;0.03;07.10.csv;2015;07.10.2015
A10063;Frucht 1.00;1;1;1;NA;1;0.04;07.10.csv;2015;07.10.2015
A10072;Schichtjoghurt;6;6;2;NA;3;0.25;07.10.csv;2015;07.10.2015
A10073;Saisonfrüchte geschnitten;3.5;3.5;1;NA;3.5;0.14;07.10.csv;2015;07.10.2015
A10110;Sonnenblumenbrötli;1.7;1.7;1;NA;1.7;0.07;07.10.csv;2015;07.10.2015
A10135;Wähe;3.9;3.9;1;NA;3.9;0.16;07.10.csv;2015;07.10.2015
A10148;Fruchttörtli;2.9;2.9;1;NA;2.9;0.12;07.10.csv;2015;07.10.2015
A10200;Birchermüesli Classic;3.2;3.2;1;NA;3.2;0.13;07.10.csv;2015;07.10.2015
A10410;Sandwich Milano;4;4;1;NA;4;0.17;07.10.csv;2015;07.10.2015
A10413;Sandwich Start Your Day;4.5;4.5;1;NA;4.5;0.19;07.10.csv;2015;07.10.2015
A10415;Sandwich Turkey;11;11;2;NA;5.5;0.45;07.10.csv;2015;07.10.2015
A10416;Sandwich Ticinese;6;6;1;NA;6;0.25;07.10.csv;2015;07.10.2015
A10425;Sandwich Italien;6;6;1;NA;6;0.25;07.10.csv;2015;07.10.2015
A10426;Bagel Sandwich Ham & Cheese;5.5;5.5;1;NA;5.5;0.23;07.10.csv;2015;07.10.2015
A10000;Catering;23.2;23.2;4;NA;5.8;1.15;08.10.csv;2015;08.10.2015
A10001;Favorite;561;561;75;NA;7.48;27.87;08.10.csv;2015;08.10.2015
A10002;Green;525;525;69;NA;7.61;26.08;08.10.csv;2015;08.10.2015
A10006;Menu Salat;69;69;46;NA;1.5;3.43;08.10.csv;2015;08.10.2015
A10007;Senf Mayo Ketschup;0.5;0.5;1;NA;0.5;0.02;08.10.csv;2015;08.10.2015
A10014;Kitchen 4;367;367;29;NA;12.66;18.23;08.10.csv;2015;08.10.2015
A10020;Local 0;355;355;48;NA;7.4;17.64;08.10.csv;2015;08.10.2015
A10030;Market;20.6;20.6;3;0.894;23.04;1.02;08.10.csv;2015;08.10.2015
A10040;Garden;16.4;16.4;2;0.68;24.12;0.81;08.10.csv;2015;08.10.2015
A10063;Frucht 1.00;1;1;1;NA;1;0.05;08.10.csv;2015;08.10.2015
A10121;Mandelschnecke;2.4;2.4;1;NA;2.4;0.12;08.10.csv;2015;08.10.2015
A10130;Vanillekreuz;2.4;2.4;1;NA;2.4;0.12;08.10.csv;2015;08.10.2015
A10135;Wähe;15.6;15.6;4;NA;3.9;0.77;08.10.csv;2015;08.10.2015
A10144;Trockengebäck 100g verpackt;2.2;2.2;1;NA;2.2;0.11;08.10.csv;2015;08.10.2015
A10148;Fruchttörtli;7.2;7.2;3;NA;2.4;0.36;08.10.csv;2015;08.10.2015
A10162;Bienenstich;2.4;2.4;1;NA;2.4;0.12;08.10.csv;2015;08.10.2015
A10200;Birchermüesli Classic;10.1;10.1;3;NA;3.37;0.5;08.10.csv;2015;08.10.2015
A10415;Sandwich Turkey;5.5;5.5;1;NA;5.5;0.27;08.10.csv;2015;08.10.2015
A10416;Sandwich Ticinese;6;6;1;NA;6;0.3;08.10.csv;2015;08.10.2015
A10426;Bagel Sandwich Ham & Cheese;5.5;5.5;1;NA;5.5;0.27;08.10.csv;2015;08.10.2015
A10451;Sandwich Bauette;15;15;3;NA;5;0.75;08.10.csv;2015;08.10.2015
A10000;Catering;1408.5;1408.5;4;NA;352.13;49.97;09.10.csv;2015;09.10.2015
A10001;Favorite;431;431;57;NA;7.56;15.29;09.10.csv;2015;09.10.2015
A10002;Green;166;166;22;NA;7.55;5.89;09.10.csv;2015;09.10.2015
A10006;Menu Salat;3;3;2;NA;1.5;0.11;09.10.csv;2015;09.10.2015
A10012;Kitchen 2;395;395;36;NA;10.97;14.01;09.10.csv;2015;09.10.2015
A10020;Local 0;314;314;38;NA;8.26;11.14;09.10.csv;2015;09.10.2015
A10030;Market;30.7;30.7;4;1.332;23.05;1.09;09.10.csv;2015;09.10.2015
A10040;Garden;33.6;33.6;5;1.458;23.05;1.19;09.10.csv;2015;09.10.2015
A10103;Vanille-Gipfel;2.4;2.4;1;NA;2.4;0.09;09.10.csv;2015;09.10.2015
A10121;Mandelschnecke;4.8;4.8;2;NA;2.4;0.17;09.10.csv;2015;09.10.2015
A10130;Vanillekreuz;2.9;2.9;1;NA;2.9;0.1;09.10.csv;2015;09.10.2015
A10148;Fruchttörtli;2.4;2.4;1;NA;2.4;0.09;09.10.csv;2015;09.10.2015
A10413;Sandwich Start Your Day;9;9;2;NA;4.5;0.32;09.10.csv;2015;09.10.2015
A10415;Sandwich Turkey;5.5;5.5;1;NA;5.5;0.2;09.10.csv;2015;09.10.2015
A10416;Sandwich Ticinese;6;6;1;NA;6;0.21;09.10.csv;2015;09.10.2015
A10450;Sandwich Laugenkaiser;4;4;1;NA;4;0.14;09.10.csv;2015;09.10.2015
A10000;Catering;22;22;2;NA;11;1.28;12.10.csv;2015;12.10.2015
A10001;Favorite;596;596;75;NA;7.95;34.57;12.10.csv;2015;12.10.2015
A10002;Green;525;525;70;NA;7.5;30.45;12.10.csv;2015;12.10.2015
