ID;Artikel;NA;Bruttobetrag;Nettobetrag;Verkaufte Stücke;Gewicht verkauft;Durchschnittlicher Preis;Referenzbetrag;Ref %;Tot %Umsatz;source;year
750;A10164;Hausgemachter Kuchen;27.5;27.5;10;0;2.75;27.5;100;0.3;KW23.xlsx;2016
751;A10200;Birchermüesli Classic;52.7;52.7;16;0;3.29;52.7;100;0.58;KW23.xlsx;2016
752;A10409;Sandwich Appenzell;22.5;22.5;4;0;5.63;22.5;100;0.25;KW23.xlsx;2016
753;A10410;Sandwich Milano;4;4;1;0;4;4;100;0.04;KW23.xlsx;2016
754;A10411;Sandwich Power Ham;8.5;8.5;2;0;4.25;8.5;100;0.09;KW23.xlsx;2016
755;A10413;Sandwich Start Your Day;18;18;4;0;4.5;18;100;0.2;KW23.xlsx;2016
756;A10417;Sandwich Softie;8;8;2;0;4;8;100;0.09;KW23.xlsx;2016
757;A10435;FB Sandwich Emmental;17;17;3;0;5.67;17;100;0.19;KW23.xlsx;2016
758;A10450;Sandwich Laugenkaiser;8;8;2;0;4;8;100;0.09;KW23.xlsx;2016
760;A10000;Küche;290.1;290.1;21;0;13.81;290.1;100;3.51;KW24.xlsx;2016
761;A10001;Favorite;2'838.00;2'838.00;351;0;8.09;2'838.00;100;34.35;KW24.xlsx;2016
762;A10002;Green;1'704.00;1'704.00;217;0;7.85;1'704.00;100;20.62;KW24.xlsx;2016
763;A100039;Portion Pommes;22;22;4;0;5.5;22;100;0.27;KW24.xlsx;2016
764;A10004;Brot Stück;0.3;0.3;1;0;0.3;0.3;100;0;KW24.xlsx;2016
765;A10006;Menu Salat;201.5;201.5;129;0;1.56;201.5;100;2.44;KW24.xlsx;2016
766;A10007;Senf Mayo Ketschup;0.5;0.5;1;0;0.5;0.5;100;0.01;KW24.xlsx;2016
767;A10014;Kitchen 4;964;964;74;0;13.03;964;100;11.67;KW24.xlsx;2016
768;A10020;Local 0;937;937;117;0;8.01;937;100;11.34;KW24.xlsx;2016
769;A10040;Garden;390.2;390.2;46;16.85;23.16;390.2;100;4.72;KW24.xlsx;2016
770;A10063;Frucht 1.00;169;169;169;0;1;169;100;2.05;KW24.xlsx;2016
771;A10072;Schichtjoghurt;9;9;3;0;3;9;100;0.11;KW24.xlsx;2016
772;A10073;Saisonfrüchte geschnitten;7;7;2;0;3.5;7;100;0.08;KW24.xlsx;2016
773;A10100;Gipfel;94.9;94.9;73;0;1.3;94.9;100;1.15;KW24.xlsx;2016
774;A10101;Ragusa-Gipfel ;2.4;2.4;1;0;2.4;2.4;100;0.03;KW24.xlsx;2016
775;A10103;Vanille-Gipfel;7.2;7.2;3;0;2.4;7.2;100;0.09;KW24.xlsx;2016
776;A10108;Laugenbrezel mit Butter;4.4;4.4;2;0;2.2;4.4;100;0.05;KW24.xlsx;2016
777;A10111;Schoggi Fair;2.2;2.2;1;0;2.2;2.2;100;0.03;KW24.xlsx;2016
778;A10112;Maisbrötli;52.7;52.7;31;0;1.7;52.7;100;0.64;KW24.xlsx;2016
779;A10116;Semmel ;22.4;22.4;16;0;1.4;22.4;100;0.27;KW24.xlsx;2016
780;A10130;Vanillekreuz;2.4;2.4;1;0;2.4;2.4;100;0.03;KW24.xlsx;2016
781;A10135;Wähe;7.8;7.8;2;0;3.9;7.8;100;0.09;KW24.xlsx;2016
782;A10136;Muffin;2.5;2.5;1;0;2.5;2.5;100;0.03;KW24.xlsx;2016
783;A10139;Zitronencake-Schnitte 100g verpackt;5.8;5.8;2;0;2.9;5.8;100;0.07;KW24.xlsx;2016
784;A10144;Trockengebäck 100g verpackt;2.7;2.7;1;0;2.7;2.7;100;0.03;KW24.xlsx;2016
785;A10164;Hausgemachter Kuchen;48;48;19;0;2.53;48;100;0.58;KW24.xlsx;2016
786;A10200;Birchermüesli Classic;25.6;25.6;8;0;3.2;25.6;100;0.31;KW24.xlsx;2016
787;A10409;Sandwich Appenzell;22;22;4;0;5.5;22;100;0.27;KW24.xlsx;2016
788;A10410;Sandwich Milano;16.5;16.5;4;0;4.13;16.5;100;0.2;KW24.xlsx;2016
789;A10411;Sandwich Power Ham;4;4;1;0;4;4;100;0.05;KW24.xlsx;2016
790;A10413;Sandwich Start Your Day;4.5;4.5;1;0;4.5;4.5;100;0.05;KW24.xlsx;2016
791;A10415;Sandwich Turkey;248.5;248.5;45;0;5.52;248.5;100;3.01;KW24.xlsx;2016
793;A10000;Küche;104.4;104.4;20;0;5.22;104.4;100;1.18;KW25.xlsx;2016
794;A10001;Favorite;3'219.00;3'219.00;377;0;8.54;3'219.00;100;36.27;KW25.xlsx;2016
795;A10002;Green;1'889.00;1'889.00;235;0;8.04;1'889.00;100;21.29;KW25.xlsx;2016
796;A100039;Portion Pommes;28;28;4;0;7;28;100;0.32;KW25.xlsx;2016
797;A10006;Menu Salat;282;282;172;0;1.64;282;100;3.18;KW25.xlsx;2016
798;A10007;Senf Mayo Ketschup;2.5;2.5;5;0;0.5;2.5;100;0.03;KW25.xlsx;2016
799;A10014;Kitchen 4;1'419.00;1'419.00;111;0;12.78;1'419.00;100;15.99;KW25.xlsx;2016
800;A10020;Local 0;1'026.00;1'026.00;124;0;8.27;1'026.00;100;11.56;KW25.xlsx;2016
801;A10040;Garden;578;578;71;24.98;23.14;578;100;6.51;KW25.xlsx;2016
802;A10060;Frucht -.70;1.4;1.4;2;0;0.7;1.4;100;0.02;KW25.xlsx;2016
803;A10061;Frucht -.80;2.4;2.4;3;0;0.8;2.4;100;0.03;KW25.xlsx;2016
804;A10063;Frucht 1.00;11;11;11;0;1;11;100;0.12;KW25.xlsx;2016
805;A100700;Yogi;1.6;1.6;1;0;1.6;1.6;100;0.02;KW25.xlsx;2016
806;A10073;Saisonfrüchte geschnitten;21.5;21.5;6;0;3.58;21.5;100;0.24;KW25.xlsx;2016
807;A10100;Gipfel;1.3;1.3;1;0;1.3;1.3;100;0.01;KW25.xlsx;2016
808;A10101;Ragusa-Gipfel ;4.8;4.8;2;0;2.4;4.8;100;0.05;KW25.xlsx;2016
809;A10108;Laugenbrezel mit Butter;4.6;4.6;2;0;2.3;4.6;100;0.05;KW25.xlsx;2016
810;A10112;Maisbrötli;1.7;1.7;1;0;1.7;1.7;100;0.02;KW25.xlsx;2016
811;A10119;Studentenschnitte ;2.4;2.4;1;0;2.4;2.4;100;0.03;KW25.xlsx;2016
812;A10122;Nussbrille;2.9;2.9;1;0;2.9;2.9;100;0.03;KW25.xlsx;2016
813;A10123;Russenzöpfli;2.4;2.4;1;0;2.4;2.4;100;0.03;KW25.xlsx;2016
814;A10126;Apfel im Schlafrock;2.9;2.9;1;0;2.9;2.9;100;0.03;KW25.xlsx;2016
815;A10128;Aprikosenjalousie;2.4;2.4;1;0;2.4;2.4;100;0.03;KW25.xlsx;2016
816;A10130;Vanillekreuz;2.4;2.4;1;0;2.4;2.4;100;0.03;KW25.xlsx;2016
817;A10135;Wähe;23.4;23.4;6;0;3.9;23.4;100;0.26;KW25.xlsx;2016
818;A10144;Trockengebäck 100g verpackt;2.2;2.2;1;0;2.2;2.2;100;0.02;KW25.xlsx;2016
819;A10148;Fruchttörtli;2.4;2.4;1;0;2.4;2.4;100;0.03;KW25.xlsx;2016
820;A10164;Hausgemachter Kuchen;5.5;5.5;2;0;2.75;5.5;100;0.06;KW25.xlsx;2016
821;A10200;Birchermüesli Classic;19.7;19.7;6;0;3.28;19.7;100;0.22;KW25.xlsx;2016
822;A10409;Sandwich Appenzell;22;22;4;0;5.5;22;100;0.25;KW25.xlsx;2016
823;A10410;Sandwich Milano;8;8;2;0;4;8;100;0.09;KW25.xlsx;2016
824;A10411;Sandwich Power Ham;8;8;2;0;4;8;100;0.09;KW25.xlsx;2016
826;A10000;Küche;87.8;87.8;13;0;6.75;87.8;100;1.13;KW26.xlsx;2016
827;A10001;Favorite;2'732.00;2'732.00;336;0;8.13;2'732.00;100;35.21;KW26.xlsx;2016
828;A10002;Green;1'924.00;1'924.00;242;0;7.95;1'924.00;100;24.8;KW26.xlsx;2016
829;A100039;Portion Pommes;5.5;5.5;1;0;5.5;5.5;100;0.07;KW26.xlsx;2016
830;A10004;Brot Stück;0.3;0.3;1;0;0.3;0.3;100;0;KW26.xlsx;2016
831;A10006;Menu Salat;174;174;114;0;1.53;174;100;2.24;KW26.xlsx;2016
832;A10007;Senf Mayo Ketschup;1;1;2;0;0.5;1;100;0.01;KW26.xlsx;2016
833;A10013;Kitchen 3;406;406;34;0;11.94;406;100;5.23;KW26.xlsx;2016
834;A10014;Kitchen 4;791;791;61;0;12.97;791;100;10.19;KW26.xlsx;2016
835;A10020;Local 0;812;812;101;0;8.04;812;100;10.46;KW26.xlsx;2016
836;A10040;Garden;500.4;500.4;60;21.61;23.16;500.4;100;6.45;KW26.xlsx;2016
837;A10060;Frucht -.70;0.7;0.7;1;0;0.7;0.7;100;0.01;KW26.xlsx;2016
838;A10063;Frucht 1.00;8;8;8;0;1;8;100;0.1;KW26.xlsx;2016
839;A100700;Yogi;1.6;1.6;1;0;1.6;1.6;100;0.02;KW26.xlsx;2016
840;A10072;Schichtjoghurt;12.5;12.5;4;0;3.13;12.5;100;0.16;KW26.xlsx;2016
841;A10073;Saisonfrüchte geschnitten;10.5;10.5;3;0;3.5;10.5;100;0.14;KW26.xlsx;2016
842;A10100;Gipfel;10.6;10.6;8;0;1.33;10.6;100;0.14;KW26.xlsx;2016
843;A10101;Ragusa-Gipfel ;12;12;5;0;2.4;12;100;0.15;KW26.xlsx;2016
844;A10103;Vanille-Gipfel;2.4;2.4;1;0;2.4;2.4;100;0.03;KW26.xlsx;2016
845;A10108;Laugenbrezel mit Butter;6.8;6.8;3;0;2.27;6.8;100;0.09;KW26.xlsx;2016
846;A10110;Sonnenblumenbrötli;1.7;1.7;1;0;1.7;1.7;100;0.02;KW26.xlsx;2016
847;A10114;Fitnessbrötli ;3.4;3.4;2;0;1.7;3.4;100;0.04;KW26.xlsx;2016
848;A10118;Brownie ;2.4;2.4;1;0;2.4;2.4;100;0.03;KW26.xlsx;2016
849;A10122;Nussbrille;2.9;2.9;1;0;2.9;2.9;100;0.04;KW26.xlsx;2016
850;A10128;Aprikosenjalousie;4.8;4.8;2;0;2.4;4.8;100;0.06;KW26.xlsx;2016
851;A10135;Wähe;3.9;3.9;1;0;3.9;3.9;100;0.05;KW26.xlsx;2016
852;A10144;Trockengebäck 100g verpackt;2.2;2.2;1;0;2.2;2.2;100;0.03;KW26.xlsx;2016
853;A10148;Fruchttörtli;12;12;5;0;2.4;12;100;0.15;KW26.xlsx;2016
854;A10164;Hausgemachter Kuchen;21.5;21.5;8;0;2.69;21.5;100;0.28;KW26.xlsx;2016
855;A10200;Birchermüesli Classic;22.4;22.4;7;0;3.2;22.4;100;0.29;KW26.xlsx;2016
856;A10409;Sandwich Appenzell;22;22;4;0;5.5;22;100;0.28;KW26.xlsx;2016
857;A10410;Sandwich Milano;8.5;8.5;2;0;4.25;8.5;100;0.11;KW26.xlsx;2016
859;A10000;Küche;160.7;160.7;24;0;6.7;160.7;100;1.89;KW27.xlsx;2016
860;A10001;Favorite;2'842.00;2'842.00;358;0;7.94;2'842.00;100;33.4;KW27.xlsx;2016
861;A10002;Green;1'850.00;1'850.00;242;0;7.64;1'850.00;100;21.74;KW27.xlsx;2016
862;A100039;Portion Pommes;11;11;2;0;5.5;11;100;0.13;KW27.xlsx;2016
863;A10004;Brot Stück;0.6;0.6;2;0;0.3;0.6;100;0.01;KW27.xlsx;2016
864;A10006;Menu Salat;175.5;175.5;115;0;1.53;175.5;100;2.06;KW27.xlsx;2016
865;A10007;Senf Mayo Ketschup;3;3;6;0;0.5;3;100;0.04;KW27.xlsx;2016
866;A10008;Gemüseportion;1.5;1.5;1;0;1.5;1.5;100;0.02;KW27.xlsx;2016
867;A10013;Kitchen 3;401;401;33;0;12.15;401;100;4.71;KW27.xlsx;2016
868;A10014;Kitchen 4;575;575;45;0;12.78;575;100;6.76;KW27.xlsx;2016
869;A10020;Local 0;1'181.00;1'181.00;149;0;7.93;1'181.00;100;13.88;KW27.xlsx;2016
870;A10040;Garden;972.3;972.3;122;41.98;23.16;972.3;100;11.43;KW27.xlsx;2016
871;A10060;Frucht -.70;0.7;0.7;1;0;0.7;0.7;100;0.01;KW27.xlsx;2016
872;A10063;Frucht 1.00;13;13;13;0;1;13;100;0.15;KW27.xlsx;2016
873;A100700;Yogi;1.6;1.6;1;0;1.6;1.6;100;0.02;KW27.xlsx;2016
874;A10072;Schichtjoghurt;12.5;12.5;4;0;3.13;12.5;100;0.15;KW27.xlsx;2016
875;A10073;Saisonfrüchte geschnitten;14.5;14.5;4;0;3.63;14.5;100;0.17;KW27.xlsx;2016
876;A10100;Gipfel;1.3;1.3;1;0;1.3;1.3;100;0.02;KW27.xlsx;2016
877;A10103;Vanille-Gipfel;4.8;4.8;2;0;2.4;4.8;100;0.06;KW27.xlsx;2016
878;A10108;Laugenbrezel mit Butter;2.4;2.4;1;0;2.4;2.4;100;0.03;KW27.xlsx;2016
879;A10111;Schoggi Fair;2.2;2.2;1;0;2.2;2.2;100;0.03;KW27.xlsx;2016
880;A10112;Maisbrötli;3.4;3.4;2;0;1.7;3.4;100;0.04;KW27.xlsx;2016
881;A10114;Fitnessbrötli ;1.7;1.7;1;0;1.7;1.7;100;0.02;KW27.xlsx;2016
882;A10119;Studentenschnitte ;2.4;2.4;1;0;2.4;2.4;100;0.03;KW27.xlsx;2016
883;A10120;Mandelbrezel ;2.9;2.9;1;0;2.9;2.9;100;0.03;KW27.xlsx;2016
884;A10121;Mandelschnecke ;2.4;2.4;1;0;2.4;2.4;100;0.03;KW27.xlsx;2016
885;A10123;Russenzöpfli;4.8;4.8;2;0;2.4;4.8;100;0.06;KW27.xlsx;2016
886;A10127;Aprikosenplunder;2.9;2.9;1;0;2.9;2.9;100;0.03;KW27.xlsx;2016
887;A10135;Wähe;20;20;5;0;4;20;100;0.24;KW27.xlsx;2016
888;A10136;Muffin;2.5;2.5;1;0;2.5;2.5;100;0.03;KW27.xlsx;2016
889;A10148;Fruchttörtli;2.4;2.4;1;0;2.4;2.4;100;0.03;KW27.xlsx;2016
890;A10200;Birchermüesli Classic;42.1;42.1;13;0;3.24;42.1;100;0.49;KW27.xlsx;2016
892;A10000;Küche;71.1;71.1;9;0;7.9;71.1;100;1.11;KW28.xlsx;2016
893;A10001;Favorite;2'675.00;2'675.00;319;0;8.39;2'675.00;100;41.75;KW28.xlsx;2016
894;A10002;Green;1'178.00;1'178.00;144;0;8.18;1'178.00;100;18.39;KW28.xlsx;2016
895;A100039;Portion Pommes;5.5;5.5;1;0;5.5;5.5;100;0.09;KW28.xlsx;2016
896;A10006;Menu Salat;74.5;74.5;47;0;1.59;74.5;100;1.16;KW28.xlsx;2016
897;A10007;Senf Mayo Ketschup;2;2;4;0;0.5;2;100;0.03;KW28.xlsx;2016
898;A10014;Kitchen 4;844;844;64;0;13.19;844;100;13.17;KW28.xlsx;2016
899;A10020;Local 0;975;975;116;0;8.41;975;100;15.22;KW28.xlsx;2016
900;A10040;Garden;465.1;465.1;58;20.09;23.15;465.1;100;7.26;KW28.xlsx;2016
901;A10063;Frucht 1.00;2;2;2;0;1;2;100;0.03;KW28.xlsx;2016
902;A100700;Yogi;1.6;1.6;1;0;1.6;1.6;100;0.02;KW28.xlsx;2016
903;A10072;Schichtjoghurt;3;3;1;0;3;3;100;0.05;KW28.xlsx;2016
904;A10073;Saisonfrüchte geschnitten;3.5;3.5;1;0;3.5;3.5;100;0.05;KW28.xlsx;2016
905;A10101;Ragusa-Gipfel ;2.4;2.4;1;0;2.4;2.4;100;0.04;KW28.xlsx;2016
906;A10126;Apfel im Schlafrock;2.4;2.4;1;0;2.4;2.4;100;0.04;KW28.xlsx;2016
907;A10136;Muffin;2.5;2.5;1;0;2.5;2.5;100;0.04;KW28.xlsx;2016
908;A10144;Trockengebäck 100g verpackt;2.2;2.2;1;0;2.2;2.2;100;0.03;KW28.xlsx;2016
909;A10148;Fruchttörtli;5.3;5.3;2;0;2.65;5.3;100;0.08;KW28.xlsx;2016
910;A10161;Muffin gross;6;6;2;0;3;6;100;0.09;KW28.xlsx;2016
911;A10200;Birchermüesli Classic;9.6;9.6;3;0;3.2;9.6;100;0.15;KW28.xlsx;2016
912;A10409;Sandwich Appenzell;34;34;6;0;5.67;34;100;0.53;KW28.xlsx;2016
913;A10410;Sandwich Milano;4;4;1;0;4;4;100;0.06;KW28.xlsx;2016
914;A10413;Sandwich Start Your Day;9;9;2;0;4.5;9;100;0.14;KW28.xlsx;2016
915;A10415;Sandwich Turkey;5.5;5.5;1;0;5.5;5.5;100;0.09;KW28.xlsx;2016
916;A10430;Bagel Sandwich Fisherman's Catch;11;11;2;0;5.5;11;100;0.17;KW28.xlsx;2016
917;A10450;Sandwich Laugenkaiser;8;8;2;0;4;8;100;0.12;KW28.xlsx;2016
918;A10451;Sandwich Bauette;5;5;1;0;5;5;100;0.08;KW28.xlsx;2016
925;A10000;Küche;116.2;116.2;19;0;6.12;116.2;100;2.78;KW29.xlsx;2016
926;A10001;Favorite;1'907.00;1'907.00;242;0;7.88;1'907.00;100;45.55;KW29.xlsx;2016
927;A10002;Green;1'280.00;1'280.00;162;0;7.9;1'280.00;100;30.57;KW29.xlsx;2016
928;A100039;Portion Pommes;11;11;2;0;5.5;11;100;0.26;KW29.xlsx;2016
929;A10004;Brot Stück;0.3;0.3;1;0;0.3;0.3;100;0.01;KW29.xlsx;2016
930;A10006;Menu Salat;100;100;66;0;1.52;100;100;2.39;KW29.xlsx;2016
931;A10007;Senf Mayo Ketschup;2;2;4;0;0.5;2;100;0.05;KW29.xlsx;2016
