ID;Kalenderwoche;Artikel;;;;;Bruttobetrag;Nettobetrag;;;Verkaufte StÅcke;Gewicht verkauft;;Durchschnittlicher Preis;;;;Rabattierter Betrag;Durchschnittlicher Rabatt;Referenzbetrag;;;;Ref %;;Tot %Umsatz;Jahr
85;35;A10002;Green;;;;1'736.00;1'736.00;;;217;;;8.00;;;;0.00;0.00;1'736.00;;;;100.00;;24.13;2015
86;35;A10006;Menu Salat;;;;123.50;123.50;;;77;;;1.60;;;;0.00;0.00;123.50;;;;100.00;;1.72;2015
87;35;A10007;Senf Mayo Ketschup;;;;1.00;1.00;;;2;;;0.50;;;;0.00;0.00;1.00;;;;100.00;;0.01;2015
88;35;A10010;Kitchen 0;;;;9.00;9.00;;;1;;;9.00;;;;0.00;0.00;9.00;;;;100.00;;0.13;2015
89;35;A10011;Kitchen 1;;;;653.00;653.00;;;63;;;10.37;;;;0.00;0.00;653.00;;;;100.00;;9.08;2015
90;35;A10014;Kitchen 4;;;;435.00;435.00;;;31;;;14.03;;;;0.00;0.00;435.00;;;;100.00;;6.05;2015
91;35;A10020;Local 0;;;;462.00;462.00;;;57;;;8.11;;;;0.00;0.00;462.00;;;;100.00;;6.42;2015
92;35;A10021;Local 1;;;;99.00;99.00;;;10;;;9.90;;;;0.00;0.00;99.00;;;;100.00;;1.38;2015
93;35;A10040;Garden;;;;298.10;298.10;;;41;12.85;;23.19;;;;0.00;0.00;298.10;;;;100.00;;4.14;2015
94;35;A10063;Frucht 1.00;;;;7.00;7.00;;;7;;;1.00;;;;0.00;0.00;7.00;;;;100.00;;0.10;2015
95;35;A10071;Quark;;;;3.40;3.40;;;2;;;1.70;;;;0.00;0.00;3.40;;;;100.00;;0.05;2015
96;35;A10072;Schichtjoghurt;;;;3.00;3.00;;;1;;;3.00;;;;0.00;0.00;3.00;;;;100.00;;0.04;2015
