Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10116,Semmel ,3,3,2,NA,1.5,0,0,3,100,0.12,09.09.csv,2015
A10117,Nuss-Semmel ,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.07,09.09.csv,2015
A10121,Mandelschnecke ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.2,09.09.csv,2015
A10124,Kirschenstange,7.7,7.7,3,NA,2.57,0,0,7.7,100,0.32,09.09.csv,2015
A10126,Apfel im Schlafrock,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.1,09.09.csv,2015
A10144,Trockengebäck 100g verpackt,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.09,09.09.csv,2015
A10200,Birchermüesli Classic,17,17,5,NA,3.4,0,0,17,100,0.7,09.09.csv,2015
A10410,Sandwich Milano,20,20,5,NA,4,0,0,20,100,0.82,09.09.csv,2015
A10413,Sandwich Start Your Day,27,27,6,NA,4.5,0,0,27,100,1.11,09.09.csv,2015
A10414,Sandwich Ham & Cheese,11,11,2,NA,5.5,0,0,11,100,0.45,09.09.csv,2015
L19200,Sandwich offen,16.5,16.5,3,NA,5.5,0,0,16.5,100,0.68,09.09.csv,2015
Total Gruppe,NA,2439.2,2439.2,363,6.94,6.72,0,0,2439.2,NA,100,09.09.csv,2015
A10000,Küche,7.5,7.5,3,NA,2.5,0,0,7.5,100,0.27,10.09.csv,2015
A10001,Favorite,785,785,102,NA,7.7,0,0,785,100,27.99,10.09.csv,2015
A10002,Green,713,713,95,NA,7.51,0,0,713,100,25.43,10.09.csv,2015
A10006,Menu Salat,81.5,81.5,53,NA,1.54,0,0,81.5,100,2.91,10.09.csv,2015
A10013,Kitchen 3,438,438,37,NA,11.84,0,0,438,100,15.62,10.09.csv,2015
A10020,Local 0,507,507,66,NA,7.68,0,0,507,100,18.08,10.09.csv,2015
A10030,Market,33.8,33.8,4,1.47,22.99,0,0,33.8,100,1.21,10.09.csv,2015
A10040,Garden,115.3,115.3,15,5.01,23.01,0,0,115.3,100,4.11,10.09.csv,2015
A10063,Frucht 1.00,2,2,2,NA,1,0,0,2,100,0.07,10.09.csv,2015
A10072,Schichtjoghurt,6,6,2,NA,3,0,0,6,100,0.21,10.09.csv,2015
A10073,Saisonfrüchte geschnitten,7.5,7.5,2,NA,3.75,0,0,7.5,100,0.27,10.09.csv,2015
A10101,Ragusa-Gipfel ,10.6,10.6,4,NA,2.65,0,0,10.6,100,0.38,10.09.csv,2015
A10112,Maisbrötli,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.06,10.09.csv,2015
A10116,Semmel ,2.8,2.8,2,NA,1.4,0,0,2.8,100,0.1,10.09.csv,2015
A10117,Nuss-Semmel ,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.06,10.09.csv,2015
A10123,Russenzöpfli,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.09,10.09.csv,2015
A10126,Apfel im Schlafrock,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.09,10.09.csv,2015
A10200,Birchermüesli Classic,17,17,5,NA,3.4,0,0,17,100,0.61,10.09.csv,2015
A10410,Sandwich Milano,28.5,28.5,7,NA,4.07,0,0,28.5,100,1.02,10.09.csv,2015
A10413,Sandwich Start Your Day,14,14,3,NA,4.67,0,0,14,100,0.5,10.09.csv,2015
A10415,Sandwich Turkey,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.2,10.09.csv,2015
A10426,Bagel Sandwich Ham & Cheese,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.2,10.09.csv,2015
A10430,Bagel Sandwich Fisherman's Catch,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.2,10.09.csv,2015
L19200,Sandwich offen,10,10,2,NA,5,0,0,10,100,0.36,10.09.csv,2015
Total Gruppe,NA,2804.2,2804.2,411,6.48,6.82,0,0,2804.2,NA,100,10.09.csv,2015
A10001,Favorite,558,558,69,NA,8.09,0,0,558,100,49.82,11.09.csv,2015
A10002,Green,150,150,18,NA,8.33,0,0,150,100,13.39,11.09.csv,2015
A10006,Menu Salat,41.5,41.5,27,NA,1.54,0,0,41.5,100,3.71,11.09.csv,2015
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.04,11.09.csv,2015
A10014,Kitchen 4,168,168,13,NA,12.92,0,0,168,100,15,11.09.csv,2015
A10020,Local 0,133,133,17,NA,7.82,0,0,133,100,11.87,11.09.csv,2015
A10030,Market,5.6,5.6,1,0.242,23.14,0,0,5.6,100,0.5,11.09.csv,2015
A10040,Garden,36.7,36.7,5,1.594,23.02,0,0,36.7,100,3.28,11.09.csv,2015
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.09,11.09.csv,2015
A10119,Studentenschnitte ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.21,11.09.csv,2015
A10123,Russenzöpfli,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.21,11.09.csv,2015
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.36,11.09.csv,2015
A10415,Sandwich Turkey,17,17,3,NA,5.67,0,0,17,100,1.52,11.09.csv,2015
Total Gruppe,NA,1120.1,1120.1,158,1.836,7.09,0,0,1120.1,NA,100,11.09.csv,2015
A10001,Favorite,1184,1184,152,NA,7.79,0,0,1184,100,51.28,14.09.csv,2015
A10002,Green,518,518,69,NA,7.51,0,0,518,100,22.44,14.09.csv,2015
A10006,Menu Salat,107,107,68,NA,1.57,0,0,107,100,4.63,14.09.csv,2015
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.02,14.09.csv,2015
A10013,Kitchen 3,55,55,5,NA,11,0,0,55,100,2.38,14.09.csv,2015
A10020,Local 0,243,243,32,NA,7.59,0,0,243,100,10.52,14.09.csv,2015
A10030,Market,98,98,13,4.21,23.28,0,0,98,100,4.24,14.09.csv,2015
A10040,Garden,57.5,57.5,8,2.474,23.24,0,0,57.5,100,2.49,14.09.csv,2015
A10063,Frucht 1.00,2,2,2,NA,1,0,0,2,100,0.09,14.09.csv,2015
A10071,Quark,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.07,14.09.csv,2015
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.13,14.09.csv,2015
A10112,Maisbrötli,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.07,14.09.csv,2015
A10131,Vanille/Apfelstange,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.1,14.09.csv,2015
A10148,Fruchttörtli,7.7,7.7,3,NA,2.57,0,0,7.7,100,0.33,14.09.csv,2015
A10200,Birchermüesli Classic,13.3,13.3,4,NA,3.33,0,0,13.3,100,0.58,14.09.csv,2015
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.17,14.09.csv,2015
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.19,14.09.csv,2015
A10415,Sandwich Turkey,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.24,14.09.csv,2015
Total Gruppe,NA,2308.8,2308.8,364,6.684,6.34,0,0,2308.8,NA,100,14.09.csv,2015
A10000,Küche,38.5,38.5,11,NA,3.5,0,0,38.5,100,1.66,15.09.csv,2015
A10001,Favorite,785,785,101,NA,7.77,0,0,785,100,33.84,15.09.csv,2015
A10002,Green,589,589,79,NA,7.46,0,0,589,100,25.39,15.09.csv,2015
A10006,Menu Salat,43,43,28,NA,1.54,0,0,43,100,1.85,15.09.csv,2015
A10011,Kitchen 1,211,211,22,NA,9.59,0,0,211,100,9.1,15.09.csv,2015
A10020,Local 0,461,461,62,NA,7.44,0,0,461,100,19.87,15.09.csv,2015
A10030,Market,65.4,65.4,9,2.778,23.54,0,0,65.4,100,2.82,15.09.csv,2015
A10040,Garden,34.3,34.3,4,1.494,22.96,0,0,34.3,100,1.48,15.09.csv,2015
A10063,Frucht 1.00,2,2,2,NA,1,0,0,2,100,0.09,15.09.csv,2015
A10116,Semmel ,1.4,1.4,1,NA,1.4,0,0,1.4,100,0.06,15.09.csv,2015
A10120,Mandelbrezel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.1,15.09.csv,2015
A10122,Nussbrille,2.9,2.9,1,NA,2.9,0,0,2.9,100,0.13,15.09.csv,2015
A10131,Vanille/Apfelstange,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.1,15.09.csv,2015
A10148,Fruchttörtli,7.7,7.7,3,NA,2.57,0,0,7.7,100,0.33,15.09.csv,2015
A10200,Birchermüesli Classic,25.6,25.6,8,NA,3.2,0,0,25.6,100,1.1,15.09.csv,2015
A10410,Sandwich Milano,16,16,4,NA,4,0,0,16,100,0.69,15.09.csv,2015
A10411,Sandwich Power Ham,4,4,1,NA,4,0,0,4,100,0.17,15.09.csv,2015
A10413,Sandwich Start Your Day,22.5,22.5,5,NA,4.5,0,0,22.5,100,0.97,15.09.csv,2015
A10414,Sandwich Ham & Cheese,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.24,15.09.csv,2015
Total Gruppe,NA,2319.6,2319.6,344,4.272,6.74,0,0,2319.6,NA,100,15.09.csv,2015
A10000,Küche,18.4,18.4,6,NA,3.07,0,0,18.4,100,0.63,16.09.csv,2015
A10001,Favorite,715,715,89,NA,8.03,0,0,715,100,24.66,16.09.csv,2015
A10002,Green,685,685,89,NA,7.7,0,0,685,100,23.62,16.09.csv,2015
A10006,Menu Salat,106.5,106.5,69,NA,1.54,0,0,106.5,100,3.67,16.09.csv,2015
A10013,Kitchen 3,434,434,37,NA,11.73,0,0,434,100,14.97,16.09.csv,2015
A10020,Local 0,606,606,81,NA,7.48,0,0,606,100,20.9,16.09.csv,2015
A10030,Market,100.1,100.1,13,4.298,23.29,0,0,100.1,100,3.45,16.09.csv,2015
A10040,Garden,64.8,64.8,9,2.784,23.28,0,0,64.8,100,2.23,16.09.csv,2015
A10063,Frucht 1.00,3,3,3,NA,1,0,0,3,100,0.1,16.09.csv,2015
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.1,16.09.csv,2015
A10116,Semmel ,4.6,4.6,3,NA,1.53,0,0,4.6,100,0.16,16.09.csv,2015
A10121,Mandelschnecke ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.08,16.09.csv,2015
A10126,Apfel im Schlafrock,2.9,2.9,1,NA,2.9,0,0,2.9,100,0.1,16.09.csv,2015
A10136,Muffin,8.5,8.5,3,NA,2.83,0,0,8.5,100,0.29,16.09.csv,2015
A10144,Trockengebäck 100g verpackt,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.08,16.09.csv,2015
A10148,Fruchttörtli,10.1,10.1,4,NA,2.53,0,0,10.1,100,0.35,16.09.csv,2015
A10200,Birchermüesli Classic,13.8,13.8,4,NA,3.45,0,0,13.8,100,0.48,16.09.csv,2015
A10410,Sandwich Milano,41,41,10,NA,4.1,0,0,41,100,1.41,16.09.csv,2015
A10413,Sandwich Start Your Day,18.5,18.5,4,NA,4.63,0,0,18.5,100,0.64,16.09.csv,2015
A10414,Sandwich Ham & Cheese,22,22,4,NA,5.5,0,0,22,100,0.76,16.09.csv,2015
A10415,Sandwich Turkey,6,6,1,NA,6,0,0,6,100,0.21,16.09.csv,2015
A10426,Bagel Sandwich Ham & Cheese,16.5,16.5,3,NA,5.5,0,0,16.5,100,0.57,16.09.csv,2015
A10430,Bagel Sandwich Fisherman's Catch,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.19,16.09.csv,2015
L19200,Sandwich offen,10,10,2,NA,5,0,0,10,100,0.34,16.09.csv,2015
Total Gruppe,NA,2899.8,2899.8,439,7.082,6.61,0,0,2899.8,NA,100,16.09.csv,2015
A10000,Küche,53,53,9,NA,5.89,0,0,53,100,2.5,17.09.csv,2015
A10001,Favorite,520,520,64,NA,8.13,0,0,520,100,24.54,17.09.csv,2015
A10002,Green,421,421,53,NA,7.94,0,0,421,100,19.87,17.09.csv,2015
A100039,Portion Pommes,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.26,17.09.csv,2015
A10006,Menu Salat,31.5,31.5,19,NA,1.66,0,0,31.5,100,1.49,17.09.csv,2015
A10014,Kitchen 4,660,660,50,NA,13.2,0,0,660,100,31.15,17.09.csv,2015
A10020,Local 0,246,246,31,NA,7.94,0,0,246,100,11.61,17.09.csv,2015
A10040,Garden,68.6,68.6,8,2.986,22.97,0,0,68.6,100,3.24,17.09.csv,2015
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.14,17.09.csv,2015
A10116,Semmel ,2.8,2.8,2,NA,1.4,0,0,2.8,100,0.13,17.09.csv,2015
A10131,Vanille/Apfelstange,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,17.09.csv,2015
A10148,Fruchttörtli,9.6,9.6,4,NA,2.4,0,0,9.6,100,0.45,17.09.csv,2015
A10200,Birchermüesli Classic,19.2,19.2,6,NA,3.2,0,0,19.2,100,0.91,17.09.csv,2015
A10410,Sandwich Milano,12.5,12.5,3,NA,4.17,0,0,12.5,100,0.59,17.09.csv,2015
A10413,Sandwich Start Your Day,32,32,7,NA,4.57,0,0,32,100,1.51,17.09.csv,2015
A10415,Sandwich Turkey,11,11,2,NA,5.5,0,0,11,100,0.52,17.09.csv,2015
A10430,Bagel Sandwich Fisherman's Catch,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.26,17.09.csv,2015
L19000,Brotwaren offen,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.02,17.09.csv,2015
L19200,Sandwich offen,14.5,14.5,3,NA,4.83,0,0,14.5,100,0.68,17.09.csv,2015
Total Gruppe,NA,2118.6,2118.6,266,2.986,7.96,0,0,2118.6,NA,100,17.09.csv,2015
A10000,Küche,386.9,386.9,40,NA,9.67,0,0,386.9,100,17.09,18.09.csv,2015
A10001,Favorite,698,698,88,NA,7.93,0,0,698,100,30.84,18.09.csv,2015
A10002,Green,384,384,51,NA,7.53,0,0,384,100,16.97,18.09.csv,2015
A10006,Menu Salat,10,10,6,NA,1.67,0,0,10,100,0.44,18.09.csv,2015
A10011,Kitchen 1,185,185,19,NA,9.74,0,0,185,100,8.17,18.09.csv,2015
A10020,Local 0,354,354,47,NA,7.53,0,0,354,100,15.64,18.09.csv,2015
A10030,Market,18.7,18.7,3,0.816,22.92,0,0,18.7,100,0.83,18.09.csv,2015
A10040,Garden,40.4,40.4,6,1.754,23.03,0,0,40.4,100,1.78,18.09.csv,2015
A10101,Ragusa-Gipfel ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.21,18.09.csv,2015
A10114,Fitnessbrötli ,1.9,1.9,1,NA,1.9,0,0,1.9,100,0.08,18.09.csv,2015
