Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10000,Küche,5,5,1,NA,5,0,0,5,100,0.22,07.12.csv,2016
A10001,Favorite,1150,1150,148,NA,7.77,0,0,1150,100,51.06,07.12.csv,2016
A10002,Green,486,486,63,NA,7.71,0,0,486,100,21.58,07.12.csv,2016
A10005,Menu Suppe,14,14,8,NA,1.75,0,0,14,100,0.62,07.12.csv,2016
A10006,Menu Salat,1.5,1.5,1,NA,1.5,0,0,1.5,100,0.07,07.12.csv,2016
A10014,Kitchen 4,115,115,9,NA,12.78,0,0,115,100,5.11,07.12.csv,2016
A10040,Garden,400,400,50,17.252,23.19,0,0,400,100,17.76,07.12.csv,2016
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.04,07.12.csv,2016
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.13,07.12.csv,2016
A10073,Saisonfrüchte geschnitten,4,4,1,NA,4,0,0,4,100,0.18,07.12.csv,2016
A10121,Mandelschnecke ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.21,07.12.csv,2016
A10128,Aprikosenjalousie,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,07.12.csv,2016
A10135,Wähe,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.2,07.12.csv,2016
A10148,Fruchttörtli,2.9,2.9,1,NA,2.9,0,0,2.9,100,0.13,07.12.csv,2016
A10200,Birchermüesli Classic,6.4,6.4,2,NA,3.2,0,0,6.4,100,0.28,07.12.csv,2016
A10201,Birchermüesli Saisonal,4.9,4.9,1,NA,4.9,0,0,4.9,100,0.22,07.12.csv,2016
A10409,Sandwich Appenzell,11,11,2,NA,5.5,0,0,11,100,0.49,07.12.csv,2016
A10410,Sandwich Milano,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.2,07.12.csv,2016
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.2,07.12.csv,2016
