Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10200,Birchermüesli Classic,3.7,3.7,1,NA,3.7,0,0,3.7,100,0.22,21.10.csv,2016
A10409,Sandwich Appenzell,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.33,21.10.csv,2016
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.27,21.10.csv,2016
A10430,Bagel Sandwich Fisherman's Catch,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.33,21.10.csv,2016
A10451,Sandwich Bauette,5,5,1,NA,5,0,0,5,100,0.3,21.10.csv,2016
Total Gruppe,NA,1645.3,1645.3,218,9.374,7.55,0,0,1645.3,NA,100,21.10.csv,2016
A10001,Favorite,621,621,80,NA,7.76,0,0,621,100,40.49,24.10.csv,2016
A10002,Green,440,440,58,NA,7.59,0,0,440,100,28.69,24.10.csv,2016
A10004,Brot Stück,0.6,0.6,2,NA,0.3,0,0,0.6,100,0.04,24.10.csv,2016
A10005,Menu Suppe,3,3,2,NA,1.5,0,0,3,100,0.2,24.10.csv,2016
A10006,Menu Salat,15,15,10,NA,1.5,0,0,15,100,0.98,24.10.csv,2016
A10014,Kitchen 4,251,251,19,NA,13.21,0,0,251,100,16.37,24.10.csv,2016
A10040,Garden,168.4,168.4,25,7.32,23.01,0,0,168.4,100,10.98,24.10.csv,2016
A10126,Apfel im Schlafrock,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.16,24.10.csv,2016
A10128,Aprikosenjalousie,2.9,2.9,1,NA,2.9,0,0,2.9,100,0.19,24.10.csv,2016
A10139,Zitronencake-Schnitte 100g verpackt,9.6,9.6,4,NA,2.4,0,0,9.6,100,0.63,24.10.csv,2016
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0,0,3.2,100,0.21,24.10.csv,2016
A10409,Sandwich Appenzell,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.36,24.10.csv,2016
A10435,FB Sandwich Emmental,11,11,2,NA,5.5,0,0,11,100,0.72,24.10.csv,2016
Total Gruppe,NA,1533.6,1533.6,206,7.32,7.44,0,0,1533.6,NA,100,24.10.csv,2016
A10000,Küche,14.9,14.9,2,NA,7.45,0,0,14.9,100,0.73,25.10.csv,2016
A10001,Favorite,916,916,118,NA,7.76,0,0,916,100,44.59,25.10.csv,2016
A10002,Green,574,574,74,NA,7.76,0,0,574,100,27.94,25.10.csv,2016
A100039,Portion Pommes,11,11,2,NA,5.5,0,0,11,100,0.54,25.10.csv,2016
A10005,Menu Suppe,10,10,6,NA,1.67,0,0,10,100,0.49,25.10.csv,2016
A10006,Menu Salat,9,9,6,NA,1.5,0,0,9,100,0.44,25.10.csv,2016
A10007,Senf Mayo Ketschup,2,2,4,NA,0.5,0,0,2,100,0.1,25.10.csv,2016
A10014,Kitchen 4,178,178,14,NA,12.71,0,0,178,100,8.67,25.10.csv,2016
A10040,Garden,257.9,257.9,39,11.214,23,0,0,257.9,100,12.56,25.10.csv,2016
A10063,Frucht 1.00,3,3,3,NA,1,0,0,3,100,0.15,25.10.csv,2016
A10101,Ragusa-Gipfel ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.23,25.10.csv,2016
