Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10422,Sandwich Turkey Classic,6.5,6.5,1,NA,6.5,0,0,6.5,100,0.35,22.09.csv,2015
Total Gruppe,NA,1875.9,1875.9,298,3.362,6.29,0,0,1875.9,NA,100,22.09.csv,2015
A10000,Küche,10,10,5,NA,2,0,0,10,100,0.6,23.09.csv,2015
A10001,Favorite,536,536,72,NA,7.44,0,0,536,100,32.05,23.09.csv,2015
A10002,Green,388,388,53,NA,7.32,0,0,388,100,23.2,23.09.csv,2015
A10006,Menu Salat,37,37,24,NA,1.54,0,0,37,100,2.21,23.09.csv,2015
A10010,Kitchen 0,27,27,3,NA,9,0,0,27,100,1.61,23.09.csv,2015
A10011,Kitchen 1,321,321,34,NA,9.44,0,0,321,100,19.19,23.09.csv,2015
A10020,Local 0,251,251,32,NA,7.84,0,0,251,100,15.01,23.09.csv,2015
A10040,Garden,32,32,5,1.368,23.39,0,0,32,100,1.91,23.09.csv,2015
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.21,23.09.csv,2015
A10101,Ragusa-Gipfel ,9.6,9.6,4,NA,2.4,0,0,9.6,100,0.57,23.09.csv,2015
A10105,Schinkengipfel ,5,5,2,NA,2.5,0,0,5,100,0.3,23.09.csv,2015
A10126,Apfel im Schlafrock,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.14,23.09.csv,2015
A10135,Wähe,7.8,7.8,2,NA,3.9,0,0,7.8,100,0.47,23.09.csv,2015
A10136,Muffin,5,5,2,NA,2.5,0,0,5,100,0.3,23.09.csv,2015
A10144,Trockengebäck 100g verpackt,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.13,23.09.csv,2015
A10150,Spinatstrudel,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.15,23.09.csv,2015
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.27,23.09.csv,2015
A10415,Sandwich Turkey,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.33,23.09.csv,2015
A10418,Sandwich Gruyere Semmel,4,4,1,NA,4,0,0,4,100,0.24,23.09.csv,2015
A10422,Sandwich Turkey Classic,13,13,2,NA,6.5,0,0,13,100,0.78,23.09.csv,2015
A10433,Bagel Sandwich Vegi Luxus,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.33,23.09.csv,2015
Total Gruppe,NA,1672.5,1672.5,248,1.368,6.74,0,0,1672.5,NA,100,23.09.csv,2015
A10000,Küche,48.9,48.9,9,NA,5.43,0,0,48.9,100,2.75,24.09.csv,2015
A10001,Favorite,825,825,112,NA,7.37,0,0,825,100,46.43,24.09.csv,2015
A10002,Green,423,423,57,NA,7.42,0,0,423,100,23.81,24.09.csv,2015
A10004,Brot Stück,0.6,0.6,2,NA,0.3,0,0,0.6,100,0.03,24.09.csv,2015
A10006,Menu Salat,60,60,40,NA,1.5,0,0,60,100,3.38,24.09.csv,2015
A10010,Kitchen 0,8,8,1,NA,8,0,0,8,100,0.45,24.09.csv,2015
A10011,Kitchen 1,115,115,12,NA,9.58,0,0,115,100,6.47,24.09.csv,2015
A10020,Local 0,218,218,30,NA,7.27,0,0,218,100,12.27,24.09.csv,2015
A10040,Garden,13.9,13.9,2,0.606,22.94,0,0,13.9,100,0.78,24.09.csv,2015
A10063,Frucht 1.00,2,2,2,NA,1,0,0,2,100,0.11,24.09.csv,2015
A10110,Sonnenblumenbrötli,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.1,24.09.csv,2015
A10123,Russenzöpfli,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.14,24.09.csv,2015
A10130,Vanillekreuz,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.14,24.09.csv,2015
A10135,Wähe,3.9,3.9,1,NA,3.9,0,0,3.9,100,0.22,24.09.csv,2015
A10161,Muffin gross,6,6,2,NA,3,0,0,6,100,0.34,24.09.csv,2015
A10200,Birchermüesli Classic,6.4,6.4,2,NA,3.2,0,0,6.4,100,0.36,24.09.csv,2015
