Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10001,Favorite,442,442,60,NA,7.37,0,0,442,100,24.87,08.12.csv,2015
A10002,Green,325,325,44,NA,7.39,0,0,325,100,18.29,08.12.csv,2015
A100039,Portion Pommes,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.31,08.12.csv,2015
A10004,Brot Stück,0.3,0.3,1,NA,0.3,0,0,0.3,100,0.02,08.12.csv,2015
A10005,Menu Suppe,13.5,13.5,9,NA,1.5,0,0,13.5,100,0.76,08.12.csv,2015
A10006,Menu Salat,58.5,58.5,37,NA,1.58,0,0,58.5,100,3.29,08.12.csv,2015
A10007,Senf Mayo Ketschup,3,3,6,NA,0.5,0,0,3,100,0.17,08.12.csv,2015
A10011,Kitchen 1,274,274,27,NA,10.15,0,0,274,100,15.42,08.12.csv,2015
A10013,Kitchen 3,93,93,8,NA,11.63,0,0,93,100,5.23,08.12.csv,2015
A10020,Local 0,414,414,57,NA,7.26,0,0,414,100,23.29,08.12.csv,2015
A10040,Garden,48.9,48.9,10,2.126,23,0,0,48.9,100,2.75,08.12.csv,2015
A10061,Frucht -.80,0.8,0.8,1,NA,0.8,0,0,0.8,100,0.05,08.12.csv,2015
A10063,Frucht 1.00,3,3,3,NA,1,0,0,3,100,0.17,08.12.csv,2015
A10065,Frucht 1.30,2.6,2.6,2,NA,1.3,0,0,2.6,100,0.15,08.12.csv,2015
A10072,Schichtjoghurt,6,6,2,NA,3,0,0,6,100,0.34,08.12.csv,2015
A10101,Ragusa-Gipfel ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.27,08.12.csv,2015
A10108,Laugenbrezel mit Butter,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.12,08.12.csv,2015
A10135,Wähe,3.9,3.9,1,NA,3.9,0,0,3.9,100,0.22,08.12.csv,2015
A10136,Muffin,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.14,08.12.csv,2015
A10152,Wienerli im Teig,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.14,08.12.csv,2015
A10200,Birchermüesli Classic,12.8,12.8,4,NA,3.2,0,0,12.8,100,0.72,08.12.csv,2015
A10408,Sandwich Hammer Ham,6.5,6.5,1,NA,6.5,0,0,6.5,100,0.37,08.12.csv,2015
A10412,Sandwich Gruyere,8.5,8.5,2,NA,4.25,0,0,8.5,100,0.48,08.12.csv,2015
A10413,Sandwich Start Your Day,9.5,9.5,2,NA,4.75,0,0,9.5,100,0.53,08.12.csv,2015
A10416,Sandwich Ticinese,6.5,6.5,1,NA,6.5,0,0,6.5,100,0.37,08.12.csv,2015
A10451,Sandwich Bauette,5,5,1,NA,5,0,0,5,100,0.28,08.12.csv,2015
Total Gruppe,NA,1777.3,1777.3,302,2.126,5.89,0,0,1777.3,NA,100,08.12.csv,2015
A10001,Favorite,952,952,129,NA,7.38,0,0,952,100,55.14,09.12.csv,2015
A10002,Green,448,448,58,NA,7.72,0,0,448,100,25.95,09.12.csv,2015
A10006,Menu Salat,26,26,16,NA,1.63,0,0,26,100,1.51,09.12.csv,2015
A10007,Senf Mayo Ketschup,1,1,2,NA,0.5,0,0,1,100,0.06,09.12.csv,2015
A10013,Kitchen 3,69,69,6,NA,11.5,0,0,69,100,4,09.12.csv,2015
A10020,Local 0,130,130,18,NA,7.22,0,0,130,100,7.53,09.12.csv,2015
A10040,Garden,24.2,24.2,5,1.054,22.96,0,0,24.2,100,1.4,09.12.csv,2015
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.17,09.12.csv,2015
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.2,09.12.csv,2015
A10101,Ragusa-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.14,09.12.csv,2015
A10102,Mandelgipfel ,7.2,7.2,3,NA,2.4,0,0,7.2,100,0.42,09.12.csv,2015
A10104,Schoggi-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.14,09.12.csv,2015
A10108,Laugenbrezel mit Butter,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.13,09.12.csv,2015
A10111,Schoggi Fair,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.13,09.12.csv,2015
A10114,Fitnessbrötli ,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.1,09.12.csv,2015
A10135,Wähe,3.9,3.9,1,NA,3.9,0,0,3.9,100,0.23,09.12.csv,2015
A10161,Muffin gross,6,6,2,NA,3,0,0,6,100,0.35,09.12.csv,2015
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0,0,3.2,100,0.19,09.12.csv,2015
A10413,Sandwich Start Your Day,14,14,3,NA,4.67,0,0,14,100,0.81,09.12.csv,2015
A10414,Sandwich Ham & Cheese,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.32,09.12.csv,2015
A10417,Sandwich Softie,4,4,1,NA,4,0,0,4,100,0.23,09.12.csv,2015
A10451,Sandwich Bauette,15,15,3,NA,5,0,0,15,100,0.87,09.12.csv,2015
Total Gruppe,NA,1726.4,1726.4,256,1.054,6.74,0,0,1726.4,NA,100,09.12.csv,2015
A10001,Favorite,427,427,57,NA,7.49,0,0,427,100,24.47,10.12.csv,2015
A10002,Green,426,426,59,NA,7.22,0,0,426,100,24.41,10.12.csv,2015
A10005,Menu Suppe,10.5,10.5,7,NA,1.5,0,0,10.5,100,0.6,10.12.csv,2015
A10006,Menu Salat,58.5,58.5,39,NA,1.5,0,0,58.5,100,3.35,10.12.csv,2015
A10007,Senf Mayo Ketschup,1.5,1.5,3,NA,0.5,0,0,1.5,100,0.09,10.12.csv,2015
A10014,Kitchen 4,303,303,24,NA,12.63,0,0,303,100,17.36,10.12.csv,2015
A10020,Local 0,421,421,57,NA,7.39,0,0,421,100,24.12,10.12.csv,2015
A10040,Garden,36.3,36.3,7,1.572,23.09,0,0,36.3,100,2.08,10.12.csv,2015
A10060,Frucht -.70,1.4,1.4,2,NA,0.7,0,0,1.4,100,0.08,10.12.csv,2015
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.06,10.12.csv,2015
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.17,10.12.csv,2015
A10102,Mandelgipfel ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.28,10.12.csv,2015
A10105,Schinkengipfel ,5,5,2,NA,2.5,0,0,5,100,0.29,10.12.csv,2015
